[2013-08-31 18:28] [sellcatch]David_Vince 109.110.142.118 Too much fish, does not match serverside (c:77 vs s:38)
[2013-08-31 18:28] [sellcatch]David_Vince 109.110.142.118 Too much profit, doesnt match the good server calculations (c:50 vs s:25)
[2013-08-31 18:28] [sellcatch]Steven_Gomez 81.183.129.87 Too much fish, does not match serverside (c:110 vs s:109)
[2013-08-31 18:28] [sellcatch]Steven_Gomez 81.183.129.87 Too much profit, doesnt match the good server calculations (c:72 vs s:71)
[2013-10-03 08:03] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 08:05] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:06] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:07] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:08] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:10] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:11] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:12] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 08:15] [truckingsaveDeliveryProgress]Donnie_Brasco 81.183.117.0 Rendszeresen hordja az árút. (Keresett:17500, )
[2013-10-03 12:03] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:05] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:07] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:11] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Rendszeresen hordja az árút. (Keresett:6000, )
[2013-10-03 12:17] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:19] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:21] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:21] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:22] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:23] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:25] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:26] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:27] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:29] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:30] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 12:37] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Rendszeresen hordja az árút. (Keresett:34000, )
[2013-10-03 12:40] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.175.232 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:49] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 12:58] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 13:01] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Rendszeresen hordja az árút. (Keresett:9000, )
[2013-10-03 13:05] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 13:07] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 13:08] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 13:09] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 13:13] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 13:19] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Rendszeresen hordja az árút. (Keresett:16050, )
[2013-10-03 14:45] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:47] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:47] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:48] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:51] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:52] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:53] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:54] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:55] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 14:56] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 14:58] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Rendszeresen hordja az árút. (Keresett:16000, )
[2013-10-03 15:00] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:05] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:07] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:09] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:11] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:14] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 15:14] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:15] [truckingsaveDeliveryProgress]Jeferson_Overy 78.92.83.226 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 15:16] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:17] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:18] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:21] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:23] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:25] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:36] [truckingsaveDeliveryProgress]Jeferson_Overy 84.0.118.239 Leadta a szállitmányt, (keresett:2000, )
